Emp_ID,Name,Department,Salary
1,Aakash_1,IT,41000
2,Rahul_2,HR,50000
3,Priya_3,Finance,49000
4,John_4,Sales,59000
5,Arun_5,Marketing,36000
6,Divya_6,Support,73000
7,Karan_7,Operations,35000
8,Nisha_8,Admin,34000
9,Vijay_9,IT,43000
10,Harish_10,HR,33000
11,Meena_11,Finance,51000
12,Ravi_12,Sales,48000
13,Suresh_13,Marketing,53000
14,Kavya_14,Support,73000
15,Anu_15,Operations,33000
16,Deepak_16,Admin,43000
17,Manoj_17,IT,38000
18,Keerthi_18,HR,33000
19,Ajay_19,Finance,30000
20,Sneha_20,Sales,71000
21,Rohit_21,Marketing,32000
22,Pooja_22,Support,67000
23,Varun_23,Operations,54000
24,Swetha_24,Admin,61000
25,Bharath_25,IT,51000
26,Dinesh_26,HR,73000
27,Ramesh_27,Finance,39000
28,Saranya_28,Sales,43000
29,Gokul_29,Marketing,68000
30,Preethi_30,Support,54000
31,Aakash_31,Operations,45000
32,Rahul_32,Admin,31000
33,Priya_33,IT,30000
34,John_34,HR,54000
35,Arun_35,Finance,68000
36,Divya_36,Sales,58000
37,Karan_37,Marketing,41000
38,Nisha_38,Support,72000
39,Vijay_39,Operations,45000
40,Harish_40,Admin,36000
41,Meena_41,IT,37000
42,Ravi_42,HR,78000
43,Suresh_43,Finance,36000
44,Kavya_44,Sales,57000
45,Anu_45,Marketing,54000
46,Deepak_46,Support,62000
47,Manoj_47,Operations,58000
48,Keerthi_48,Admin,30000
49,Ajay_49,IT,72000
50,Sneha_50,HR,31000
51,Rohit_51,Finance,66000
52,Pooja_52,Sales,45000
53,Varun_53,Marketing,62000
54,Swetha_54,Support,43000
55,Bharath_55,Operations,67000
56,Dinesh_56,Admin,51000
57,Ramesh_57,IT,75000
58,Saranya_58,HR,42000
59,Gokul_59,Finance,41000
60,Preethi_60,Sales,36000
61,Aakash_61,Marketing,69000
62,Rahul_62,Support,77000
63,Priya_63,Operations,43000
64,John_64,Admin,44000
65,Arun_65,IT,43000
66,Divya_66,HR,74000
67,Karan_67,Finance,75000
68,Nisha_68,Sales,58000
69,Vijay_69,Marketing,75000
70,Harish_70,Support,53000
71,Meena_71,Operations,66000
72,Ravi_72,Admin,48000
73,Suresh_73,IT,75000
74,Kavya_74,HR,53000
75,Anu_75,Finance,65000
76,Deepak_76,Sales,74000
77,Manoj_77,Marketing,75000
78,Keerthi_78,Support,56000
79,Ajay_79,Operations,51000
80,Sneha_80,Admin,69000
81,Rohit_81,IT,64000
82,Pooja_82,HR,74000
83,Varun_83,Finance,68000
84,Swetha_84,Sales,60000
85,Bharath_85,Marketing,34000
86,Dinesh_86,Support,66000
87,Ramesh_87,Operations,43000
88,Saranya_88,Admin,45000
89,Gokul_89,IT,74000
90,Preethi_90,HR,46000
91,Aakash_91,Finance,63000
92,Rahul_92,Sales,52000
93,Priya_93,Marketing,78000
94,John_94,Support,47000
95,Arun_95,Operations,48000
96,Divya_96,Admin,47000
97,Karan_97,IT,45000
98,Nisha_98,HR,76000
99,Vijay_99,Finance,44000
100,Harish_100,Sales,78000
101,Meena_101,Marketing,39000
102,Ravi_102,Support,69000
103,Suresh_103,Operations,55000
104,Kavya_104,Admin,50000
105,Anu_105,IT,45000
106,Deepak_106,HR,63000
107,Manoj_107,Finance,63000
108,Keerthi_108,Sales,80000
109,Ajay_109,Marketing,42000
110,Sneha_110,Support,49000
111,Rohit_111,Operations,58000
112,Pooja_112,Admin,43000
113,Varun_113,IT,55000
114,Swetha_114,HR,49000
115,Bharath_115,Finance,57000
116,Dinesh_116,Sales,73000
117,Ramesh_117,Marketing,59000
118,Saranya_118,Support,63000
119,Gokul_119,Operations,73000
120,Preethi_120,Admin,38000
